,region,1790,1800,1810,1820,1830,1840,1850
0,Maine,96540,151719,228705,298335,399455.0,501793.0,583169
1,New Hampshire,141885,183858,214460,244161,269328.0,284574.0,317976
2,Vermont,85425,154465,217895,235981,280652.0,291948.0,314120
3,Massachusetts,378787,422845,472040,523287,610408.0,737699.0,994514
4,Rhode Island,68825,69122,76931,83059,97199.0,108830.0,147545
5,Connecticut,237946,251002,261942,275248,297675.0,309978.0,370792
6,New York,340120,589051,959049,1372812,1918608.0,2428921.0,3097394
7,New Jersey,184139,211149,245562,277575,320823.0,373306.0,489555
8,Pennsylvania,434373,602365,810091,1049458,1348233.0,1724033.0,2311786
9,Ohio,,45365,230760,581434,937903.0,1519467.0,1980329
10,Indiana,,5641,24520,147178,343031.0,685866.0,988416
11,Delaware,59096,64273,72674,72749,76748.0,78085.0,91532
12,Maryland,319728,341548,380546,407350,447040.0,470019.0,583034
13,D.C.,0,8144,15471,23336,30261.0,33745.0,51687
14,Virginia,691737,807557,877683,938261,1044054.0,1025227.0,1119348
15,West Virginia,55873,78592,105469,136808,176924.0,224537.0,302313
16,North Carolina,393751,478103,555500,638829,737987.0,753419.0,869039
17,South Carolina,249073,345591,415115,502741,581185.0,594398.0,668507
18,Georgia,82548,162686,252433,340989,516823.0,691392.0,906185
19,Kentucky,73677,220955,406511,564317,687917.0,779828.0,982405
20,Tennessee,35691,105602,261727,422823,681904.0,829210.0,1002717
21,Alabama,,1250,9046,127901,309527.0,590756.0,771623
22,Mississippi,,7600,31306,75448,136621.0,375651.0,606526
