,region,1930,1940,1950,1960,1970,1980,1990
0,Maine,"797,423","847,226","913,774","969,265","993,722","1,124,660","1,227,928"
1,New Hampshire,"465,293","491,524","533,242","606,921","737,681","920,610","1,109,252"
2,Vermont,"359,611","359,231","377,747","389,881","444,732","511,456","562,758"
3,Massachusetts,"4,249,614","4,316,721","4,690,514","5,148,578","5,689,170","5,737,037","6,016,425"
4,Rhode Island,"687,497","713,346","791,896","859,488","949,723","947,154","1,003,464"
5,Connecticut,"1,606,903","1,709,242","2,007,280","2,535,234","3,032,217","3,107,576","3,287,116"
6,New York,"12,588,066","13,479,142","14,830,192","16,782,304","18,241,391","17,558,072","17,990,455"
7,New Jersey,"4,041,334","4,160,165","4,835,329","6,066,782","7,171,112","7,365,011","7,730,188"
8,Pennsylvania,"9,631,350","9,900,180","10,498,012","11,319,366","11,800,766","11,863,895","11,881,643"
9,Ohio,"6,646,697","6,907,612","7,946,627","9,706,397","10,657,423","10,797,630","10,847,115"
10,Indiana,"3,238,503","3,427,796","3,934,224","4,662,498","5,195,392","5,490,224","5,544,159"
11,Illinois,"7,630,654","7,897,241","8,712,176","10,081,158","11,110,285","11,426,518","11,430,602"
12,Michigan,"4,842,325","5,256,106","6,371,766","7,823,194","8,881,826","9,262,078","9,295,297"
13,Wisconsin,"2,939,006","3,137,587","3,434,575","3,951,777","4,417,821","4,705,767","4,891,769"
14,Minnesota,"2,563,953","2,792,300","2,982,483","3,413,864","3,806,103","4,075,970","4,375,099"
15,Iowa,"2,470,939","2,538,268","2,621,073","2,757,537","2,825,368","2,913,808","2,776,755"
16,Missouri,"3,629,367","3,784,664","3,954,653","4,319,813","4,677,623","4,916,686","5,117,073"
17,North Dakota,"680,845","641,935","619,636","632,446","617,792","652,717","638,800"
18,South Dakota,"692,849","642,961","652,740","680,514","666,257","690,768","696,004"
19,Nebraska,"1,377,963","1,315,834","1,325,510","1,411,330","1,485,333","1,569,825","1,578,385"
20,Kansas,"1,880,999","1,801,028","1,905,299","2,178,611","2,249,071","2,363,679","2,477,574"
21,Delaware,"238,380","266,505","318,085","446,292","548,104","594,338","666,168"
22,Maryland,"1,631,526","1,821,244","2,343,001","3,100,689","3,923,897","4,216,975","4,781,468"
23,District of Co,"l     486,869","663,091","802,178","763,956","756,668","638,333","606,900"
24,Virginia,"2,421,851","2,677,773","3,318,680","3,966,949","4,651,448","5,346,818","6,187,358"
25,West Virginia,"1,729,205","1,901,974","2,005,552","1,860,421","1,744,237","1,949,644","1,793,477"
26,North Carolina,"3,170,276","3,571,623","4,061,929","4,556,155","5,084,411","5,881,766","6,628,637"
27,South Carolina,"1,738,765","1,899,804","2,117,027","2,382,594","2,590,713","3,121,820","3,486,703"
28,Georgia,"2,908,506","3,123,723","3,444,578","3,943,116","4,587,930","5,463,105","6,478,216"
29,Florida,"1,468,211","1,897,414","2,771,305","4,951,560","6,791,418","9,746,324","12,937,926"
30,Kentucky,"2,614,589","2,845,627","2,944,806","3,038,156","3,220,711","3,660,777","3,685,296"
31,Tennessee,"2,616,556","2,915,841","3,291,718","3,567,089","3,926,018","4,591,120","4,877,185"
32,Alabama,"2,646,248","2,832,961","3,061,743","3,266,740","3,444,354","3,893,888","4,040,587"
33,Mississippi,"2,009,821","2,183,796","2,178,914","2,178,141","2,216,994","2,520,638","2,573,216"
34,Arkansas,"1,854,482","1,949,387","1,909,511","1,786,272","1,923,322","2,286,435","2,350,725"
35,Louisiana,"2,101,593","2,363,880","2,683,516","3,257,022","3,644,637","4,205,900","4,219,973"
36,Oklahoma,"2,396,040","2,336,434","2,233,351","2,328,284","2,559,463","3,025,290","3,145,585"
37,Texas,"5,824,715","6,414,824","7,711,194","9,579,677","11,198,655","14,229,191","16,986,510"
38,Montana,"537,606","559,456","591,024","674,767","694,409","786,690","799,065"
39,Idaho,"445,032","524,873","588,637","667,191","713,015","943,935","1,006,749"
40,Wyoming,"225,565","250,742","290,529","330,066","332,416","469,557","453,588"
41,Colorado,"1,035,791","1,123,296","1,325,089","1,753,947","2,209,596","2,889,964","3,294,394"
42,New Mexico,"423,317","531,818","681,187","951,023","1,017,055","1,302,894","1,515,069"
43,Arizona,"435,573","499,261","749,587","1,302,161","1,775,399","2,718,215","3,665,228"
44,Utah,"507,847","550,310","688,862","890,627","1,059,273","1,461,037","1,722,850"
45,Nevada,"91,058","110,247","160,083","285,278","488,738","800,493","1,201,833"
46,Washington,"1,563,396","1,736,191","2,378,963","2,853,214","3,413,244","4,132,156","4,866,692"
47,Oregon,"953,786","1,089,684","1,521,341","1,768,687","2,091,533","2,633,105","2,842,321"
48,California,"5,677,251","6,907,387","10,586,223","15,717,204","19,971,069","23,667,902","29,760,021"
49,Alaska,"59,278","72,524","128,643","226,167","302,583","401,851","550,043"
50,Hawaii,"368,300","422,770","499,794","632,772","769,913","964,691","1,108,229"
51,Puerto Rico,"1,543,913","1,869,255","2,210,703","2,349,544","2,712,033","3,196,520","3,522,037"
